Time,Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14
3.9 sec,40891.7770981997,1599.14719971802,-939.19137779523,1.0535653180832,-115.397626121704,158.935998054947,0.297609471603979,0.824589262183933,0.0373222134331637,0.0636464740074342,-0.560860702333388,5.6590152586174e-19,0.0614737826558434,-0.0446158804289091
4 sec,40889.0021519997,1587.57545701836,-923.324603911004,1.08254881519108,-116.037119962997,158.399519565357,0.281820518316931,0.823155989668197,0.0389086807264882,0.0662662032143319,-0.562552327831931,6.10175063250886e-19,0.0616373657037303,-0.0431875632432043
4.1 sec,40886.2272057997,1575.93979787666,-907.511465535946,1.10988143745257,-116.675949164114,157.863291492243,0.264592109585407,0.821752630859981,0.0405028874477359,0.0688869879209498,-0.564174363719537,9.64425564433649e-19,0.0617116802273978,-0.0416328251807628
4.2 sec,40883.4522595997,1564.24029054786,-891.751936527678,1.13541931643598,-117.314077393249,157.327335992176,0.245926153753081,0.820383407179612,0.0421029407797858,0.071504760967141,-0.565722084385227,1.008712925774e-18,0.0616966447663844,-0.0399537812746477
4.3 sec,40880.6773133997,1552.47700707372,-876.045988487249,1.15901888419682,-117.951465249459,156.791676023419,0.225826750364293,0.819052546942022,0.0437069604617639,0.0741154555453429,-0.567190908076243,1.09728043467001e-18,0.061592304650255,-0.0381527112101645
4.4 sec,40877.9023671997,1540.65002358848,-860.393590683888,1.18053709178277,-118.588070290031,156.256335248193,0.204300177286408,0.817764274782295,0.0453130815576931,0.0767150109260825,-0.568576399992303,1.27443439049628e-18,0.0613988304637804,-0.0362320545968394
4.5 sec,40875.1274209997,1528.75942062127,-844.794709989312,1.199831626282,-119.223847065259,155.72133793932,0.181354874493612,0.816522800759093,0.0469194570936889,0.079299378025657,-0.569874274758357,1.2301359041972e-18,0.0611165162882831,-0.0341944060994495
4.6 sec,40872.3524747997,1516.80528339485,-829.249310821131,1.21676112609296,-119.858747160607,155.186708891849,0.157001424753415,0.815332309182869,0.0485242605560532,0.0818645248024761,-0.571080398296895,1.5402111787792e-18,0.0607457777396148,-0.0320425104627887
4.7 sec,40869.5775285997,1504.78770211963,-813.757355094815,1.23118539411855,-120.49271924622,154.652473340235,0.131252531472442,0.814196947216297,0.0501256882438491,0.0844064414708568,-0.572190789125466,1.62880815304832e-18,0.0602871498244289,-0.0297792574648292
4.8 sec,40866.8025823997,1492.70677228243,-798.318802183643,1.24296560861403,-121.125709133703,154.118656881574,0.104122993969963,0.813120813294461,0.0517219614708399,0.0869211455234805,-0.573201619109629,1.76171293861962e-18,0.0597412846373695,-0.0274076768325272
4.9 sec,40864.0276361997,1480.56259492923,-782.933608886005,1.25196453144509,-121.757659840074,153.585285405376,0.0756296804559362,0.812107945412199,0.0533113286130087,0.0894046865562231,-0.574109213705654,1.82816939252128e-18,0.0591089489225086,-0.0249309331537311
5 sec,40861.2526899997,1468.35527694107,-767.60172939939,1.25804671354081,-122.38851165877,153.052385030242,0.045791498994906,0.811162309325485,0.0548920669992438,0.0918531508916332,-0.574910051731243,2.13832107305038e-18,0.0583910215228232,-0.0223523208174946
5.1 sec,40858.4777437997,1456.08493130262,-752.323115300337,1.26107869735388,-123.018202237559,152.519982047819,0.0146293667379371,0.810287786713014,0.0564624846441526,0.0942626659999135,-0.575600764706027,2.40418540241209e-18,0.0575884907417023,-0.0196752590135818
5.2 sec,40855.7027975997,1443.75167736258,-737.097715529622,1.26092921616925,-123.646666663215,151.988102874289,-0.0178338222982066,0.809488163343183,0.0580209218233481,0.0966294047188433,-0.576178135806773,2.33771420389254e-18,0.0567024516404196,-0.0169032868200981
5.3 sec,40852.9278513997,1431.35564108521,-721.925476381906,1.25746939012931,-124.273837552773,151.456774009612,-0.0515732306321699,0.808767117290506,0.0595657524929104,0.0989495892766217,-0.576639098484989,2.31554870940081e-18,0.055734103295199,-0.0140400584060084
5.4 sec,40850.1529051996,1418.89695529254,-706.80634149907,1.25057291887101,-124.899645151208,150.92602200467,-0.086562111637366,0.808128207244212,0.0610953855560632,0.101219495124093,-0.576980734796983,2.39310717034827e-18,0.0546847460369403,-0.0110893383728372
5.5 sec,40847.3779589996,1406.37575989638,-691.740251866426,1.24011627069551,-125.524017435338,150.395873436394,-0.122771844531578,0.807574860950397,0.0626082659813958,0.103435454585202,-0.577200273498315,2.35986479769789e-18,0.0535557786958745,-0.00805499725710209
5.6 sec,40844.6030127996,1393.79220211973,-676.727145811031,1.22597886821498,-126.146880223773,149.866354890879,-0.160171969806258,0.8071103638276,0.0641028757781959,0.105593860336799,-0.5772950879561,2.37094634139269e-18,0.0523486958723885,-0.00494100721205198
5.7 sec,40841.8280665996,1381.14643670681,-661.766959001279,1.20804327044342,-126.768157292735,149.337492954451,-0.198730224885691,0.806737847794248,0.0655777348356346,0.10769116873103,-0.577262693933617,2.37510256024762e-18,0.0510650852540083,-0.00175143788408202
5.8 sec,40839.0531203996,1368.43862612133,-646.859624446996,1.1861953513179,-127.387770497549,148.809314212549,-0.238412579829942,0.806460280344928,0.06703140163364,0.109723902975535,-0.577100747302273,2.37527561641179e-18,0.0497066249970763,0.00150954750418538
5.9 sec,40836.2781741996,1355.66894073221,-632.005072499269,1.16032447465402,-128.005639899637,148.281845256256,-0.279183272922029,0.806280453911024,0.0684624738343058,0.111688656188395,-0.576807041736111,2.39190153697335e-18,0.0482750811900126,0.00483769585569986
6 sec,40833.5032279996,1342.83755898647,-617.203230849247,1.13032366555408,-128.621683898841,147.755112696225,-0.321004846008802,0.806200975539965,0.0698695887636051,0.113582094346393,-0.576379506443724,2.34202084712786e-18,0.0467723054132271,0.00822866768086622
6.1 sec,40830.7282817996,1329.94466756848,-602.454024525183,1.09608977829775,-129.235819370904,147.22914318369,-0.36383817949622,0.806224256926092,0.0712514237939959,0.115400959146446,-0.575816203991678,2.43070264269011e-18,0.0452002324087758,0.0116780403584616
6.2 sec,40827.9533355996,1316.99046154535,-587.757375887054,1.05752366075332,-129.847961809948,146.703963438199,-0.407642526932877,0.80635250482509,0.0726066966392211,0.117142070801177,-0.575115328272391,2.39744550969731e-18,0.0435608778707329,0.0151813111783407
6.3 sec,40825.1783893996,1303.97514449773,-573.11320461807,1.01453031535273,-130.458025475797,146.17960028165,-0.452375549150213,0.80658771188301,0.0739341655732089,0.118802330790439,-0.574275202667748,2.53048820748857e-18,0.0418563363650147,0.01873390017251
6.4 sec,40822.4034431996,1290.89892863568,-558.521427712497,0.967019056674651,-131.065923545996,145.656080678135,-0.497993347963731,0.806931647910168,0.0752326295854686,0.120378724591177,-0.573294278457789,2.66353783862401e-18,0.0400887793850515,0.0223311527449732
6.5 sec,40819.6284969996,1277.76203489914,-543.981959459223,0.914903665677903,-131.671568272383,145.13343177908,-0.544450499476145,0.807385851629616,0.0765009284857471,0.121868324408313,-0.572171133521295,2.55265445317216e-18,0.0382604535472793,0.0259683421145285
6.6 sec,40816.8535507996,1264.56469304243,-529.494711420569,0.858102540621317,-132.27487114207,144.611680973075,-0.591700087060479,0.807951622929541,0.0777379429709634,0.123268291929349,-0.570904471372381,2.68571930979259e-18,0.0363736789279408,0.029640671588409
6.7 sec,40814.0786045996,1251.30714170255,-515.059592405904,0.796538844696666,-132.875743042704,144.090855939797,-0.639693734138208,0.808630015648687,0.0789425946675664,0.124575881125132,-0.56949312057394,2.68571930979105e-18,0.034430847540157,0.0333432766882598
6.8 sec,40811.3036583996,1237.98962845065,-500.676508439703,0.730140650387859,-133.474094431855,143.570984707327,-0.688381636904298,0.809421830923912,0.0801138461624644,0.125788441118624,-0.567936034565315,2.70790198839703e-18,0.0324344219476807,0.0370712271534183
6.9 sec,40808.5287121995,1224.61240982644,-486.345362723718,0.6588410805526,-134.069835510403,143.052095712167,-0.737712597186969,0.810327611129077,0.0812507010355619,0.126903419142694,-0.566232291937642,2.68571749963676e-18,0.0303869340091926,0.0408195288497692
7 sec,40805.7537659995,1211.17575135499,-472.066055593056,0.582578446202202,-134.662876399757,142.5342178612,-0.787634055664785,0.811347634434748,0.0823522039066913,0.127918363606776,-0.564381097186111,2.50824581223958e-18,0.0282909837444645,0.0445831256155532
7.1 sec,40802.9788197995,1197.67992754568,-457.838484465988,0.5012963809313,-135.253127322753,142.017380594827,-0.838092125696868,0.812481910018545,0.0834174405093684,0.128830927290773,-0.562381781963878,2.26420526979046e-18,0.0261492383112224,0.048356901078394
7.2 sec,40800.2038735995,1184.12522187289,-443.662543787424,0.414943971922056,-135.840498788047,141.50161395045,-0.889031628053249,0.813730173956396,0.0844455378033111,0.129638870682885,-0.560233806857505,2.53045202854976e-18,0.0239644310791048,0.0521356804804318
7.3 sec,40797.4289273995,1170.511926738,-429.538124966053,0.323475887417273,-136.42490177781,140.986948625493,-0.940396126861078,0.815091885825486,0.0854356641370575,0.130340065475972,-0.557936763698732,2.55263862960874e-18,0.0217393607847556,0.0559142325507923
7.4 sec,40794.6539811995,1156.84034341258,-415.465116305242,0.226852500523962,-137.006247938497,140.473416039087,-0.992127967108367,0.816566226050089,0.0863870294712948,0.130932498234781,-0.555490378422004,2.6413971070843e-18,0.0194768907498391,0.0596872714666416
7.5 sec,40791.8790349995,1143.11078196229,-401.443402927871,0.125040009173566,-137.584449774429,139.961048391557,-1.04416831406956,0.818152094021969,0.0872988856726719,0.131414274243812,-0.552894514471549,2.41948566826077e-18,0.017179948141632,0.0634494589457556
7.6 sec,40789.1040887995,1129.3235611513,-387.47286669536,0.0180105520276252,-138.159420843926,139.449878720836,-1.09645719503627,0.819848107027289,0.0881705268869187,0.13178362154273,-0.550149176756013,2.28633406523715e-18,0.014851523253861,0.0671954065148331
7.7 sec,40786.3291425995,1115.47900832698,-373.553386121253,-0.09425767992142,-138.73107595763,138.939940954904,-1.14893354375131,0.821652600012162,0.089001289999037,0.132038895153231,-0.547254516142586,2.17535939822995e-18,0.0124946687836336,0.0709196779986833
7.8 sec,40783.5541963995,1101.5774592847,-359.684836279788,-0.211780336345004,-139.299331378675,138.431269959383,-1.20153524795488,0.823563626218917,0.0897905551871628,0.132178581497915,-0.544210834476408,2.17535728395509e-18,0.0101124990786759,0.0746167922758819
7.9 sec,40780.7792501995,1087.61925811249,-345.867088709987,-0.334566805500685,-139.864105024279,137.923901579388,-1.25419920045719,0.825578958724785,0.0905377465754431,0.132201303008302,-0.541018590104655,2.20865273459135e-18,0.00770818932766957,0.0782812263465094
8 sec,40778.0043039995,1073.60475701552,-332.10001131589,-0.46262011745528,-140.425316668276,137.417872674772,-1.30686135415237,0.82769609291408,0.0912423329899134,0.132105822915415,-0.53767840387833,2.15315437566907e-18,0.00528497466528744,0.0819074187571101
8.1 sec,40775.2293577995,1059.53431612029,-318.383468263622,-0.595936853023574,-140.982888144079,136.913221147915,-1.35945678138376,0.829912249913849,0.0919038288199241,0.131891050212573,-0.534191065598237,2.14760342179177e-18,0.00284614916258696,0.0854897734270435
8.2 sec,40772.4544115995,1045.40830325852,-304.717319876095,-0.734507058877813,-141.536743547476,136.409985963213,-1.41191973805961,0.832224381021464,0.0925217949861503,0.131556044776095,-0.530557540865115,2.13372677824513e-18,0.000395064672759137,0.089022663918903
8.3 sec,40769.6794653995,1031.22709373083,-291.101422526207,-0.878314169322321,-142.086809438616,135.908207157482,-1.46418373290177,0.834629173150562,0.093095840014631,0.131100022625606,-0.526778978287415,2.10293597586406e-18,-0.00206487049814287,0.0925004381936469
8.4 sec,40766.9045191995,1016.99107005022,-277.535628529489,-1.02733493526472,-142.633015042485,135.407925840511,-1.51618160218694,0.837123055319174,0.0936256212146428,0.13052236130157,-0.522856716993781,2.05852551021507e-18,-0.0045301931259272,0.0959174238884997
8.5 sec,40764.1295729994,1002.70062166571,-264.019786037214,-1.18153936094983,-143.175292447081,134.909184185048,-1.56784559031074,0.839702206200646,0.094110845956527,0.129822605333633,-0.518792294391016,2.1251462534697e-18,-0.00699738683859775,0.0992679341525432
8.6 sec,40761.3546267994,988.356144666193,-250.553738931069,-1.34089064905348,-143.713576798475,134.412025405562,-1.61910743646937,0.842362562754094,0.0945512730438617,0.129000471769292,-0.514587454102249,2.03631209512036e-18,-0.00946288415183896,0.10254627407121
8.7 sec,40758.5796805994,973.958041465099,-237.137326720536,-1.50534515476124,-144.247806491837,133.916493725187,-1.66989846771134,0.845099829946611,0.0949467141726354,0.128055855728522,-0.510244154014195,2.03631466564154e-18,-0.0119230687982114,0.105746747706634
8.8 sec,40755.8047343994,959.5067204661,-223.770384444189,-1.67485234947935,-144.777923357488,133.422634330306,-1.72014969856368,0.84790949157414,0.0952970354683322,0.126988835946146,-0.505764574356957,2.14737017811177e-18,-0.01437427837727,0.108863665776006
8.9 sec,40753.0297881994,945.002595710551,-210.452742576173,-1.84935479484368,-145.303872840959,132.93049331234,-1.76979193738228,0.850786822182007,0.0956021590901111,0.125799680260175,-0.501151125734734,1.88081886052637e-18,-0.0168128073520924,0.111891353984742
9 sec,40750.2548419994,930.44608650725,-197.184226939155,-2.02878812770378,-145.825604175995,132.44011759637,-1.81875589951572,0.85372690007938,0.0958620648895668,0.124488851000961,-0.496406457021288,1.92523737378083e-18,-0.0192349104156008,0.114824162025451
9.1 sec,40747.4798957994,915.837617045307,-183.964658625092,-2.21308105676529,-146.343070549398,131.951554856327,-1.86697232730617,0.856724621434522,0.0960767921099172,0.123057010232977,-0.49153346303001,2.19181864071326e-18,-0.0216368062475796,0.117656473247366
9.2 sec,40744.7049495994,901.177615990973,-170.793853925147,-2.40215537157268,-146.856229256567,131.464853416567,-1.91437211687973,0.859774715429655,0.096246441109894,0.121505024798364,-0.486535291865142,1.88078406596983e-18,-0.0240146816804406,0.120382714994204
